GEONR;GEONAME;CLASS_HAB;VARIABLE;VALUE;STATUS
142;Wädenswil;4;depc_t;6426;A
142;Wädenswil;4;depc_pat_cul;10;A
142;Wädenswil;4;depc_cula;609;A
142;Wädenswil;4;depc_med;0;A
142;Wädenswil;4;depc_spo;5776;A
142;Wädenswil;4;depc_egl;31;A
142;Wädenswil;4;depic_t;318;A
142;Wädenswil;4;depic_pat_cul;0;A
142;Wädenswil;4;depic_cula;0;A
142;Wädenswil;4;depic_med;0;A
142;Wädenswil;4;depic_spo;318;A
142;Wädenswil;4;depic_egl;0;A
4045;Wettingen;4;depc_t;14045;A
4045;Wettingen;4;depc_pat_cul;456;A
4045;Wettingen;4;depc_cula;727;A
4045;Wettingen;4;depc_med;0;A
4045;Wettingen;4;depc_spo;12862;A
4045;Wettingen;4;depc_egl;0;A
4045;Wettingen;4;depic_t;9109;A
4045;Wettingen;4;depic_pat_cul;0;A
4045;Wettingen;4;depic_cula;0;A
4045;Wettingen;4;depic_med;0;A
4045;Wettingen;4;depic_spo;9109;A
4045;Wettingen;4;depic_egl;0;A
121;Wetzikon (ZH);4;depc_t;6858;A
121;Wetzikon (ZH);4;depc_pat_cul;200;A
121;Wetzikon (ZH);4;depc_cula;985;A
121;Wetzikon (ZH);4;depc_med;0;A
121;Wetzikon (ZH);4;depc_spo;5673;A
121;Wetzikon (ZH);4;depc_egl;0;A
121;Wetzikon (ZH);4;depic_t;71;A
121;Wetzikon (ZH);4;depic_pat_cul;0;A
121;Wetzikon (ZH);4;depic_cula;0;A
121;Wetzikon (ZH);4;depic_med;0;A
121;Wetzikon (ZH);4;depic_spo;71;A
121;Wetzikon (ZH);4;depic_egl;0;A
3427;Wil (SG);4;depc_t;9668;A
3427;Wil (SG);4;depc_pat_cul;53;A
3427;Wil (SG);4;depc_cula;3880;A
3427;Wil (SG);4;depc_med;12;A
3427;Wil (SG);4;depc_spo;5724;A
3427;Wil (SG);4;depc_egl;0;A
3427;Wil (SG);4;depic_t;2985;A
3427;Wil (SG);4;depic_pat_cul;0;A
3427;Wil (SG);4;depic_cula;1514;A
3427;Wil (SG);4;depic_med;0;A
3427;Wil (SG);4;depic_spo;1471;A
3427;Wil (SG);4;depic_egl;0;A
5938;Yverdon-les-Bains;4;depc_t;20943;A
5938;Yverdon-les-Bains;4;depc_pat_cul;1641;A
5938;Yverdon-les-Bains;4;depc_cula;6805;A
5938;Yverdon-les-Bains;4;depc_med;82;A
5938;Yverdon-les-Bains;4;depc_spo;11559;A
5938;Yverdon-les-Bains;4;depc_egl;855;A
5938;Yverdon-les-Bains;4;depic_t;1406;A
5938;Yverdon-les-Bains;4;depic_pat_cul;0;A
5938;Yverdon-les-Bains;4;depic_cula;29;A
5938;Yverdon-les-Bains;4;depic_med;0;A
5938;Yverdon-les-Bains;4;depic_spo;1298;A
5938;Yverdon-les-Bains;4;depic_egl;79;A
1711;Zug;4;depc_t;12194;A
1711;Zug;4;depc_pat_cul;1373;A
1711;Zug;4;depc_cula;8350;A
1711;Zug;4;depc_med;0;A
1711;Zug;4;depc_spo;2471;A
1711;Zug;4;depc_egl;0;A
1711;Zug;4;depic_t;1580;A
1711;Zug;4;depic_pat_cul;0;A
1711;Zug;4;depic_cula;1563;A
1711;Zug;4;depic_med;0;A
1711;Zug;4;depic_spo;16;A
1711;Zug;4;depic_egl;0;A
131;Adliswil;3;depc_t;7894;A
131;Adliswil;3;depc_pat_cul;0;A
131;Adliswil;3;depc_cula;787;A
131;Adliswil;3;depc_med;0;A
131;Adliswil;3;depc_spo;7107;A
131;Adliswil;3;depc_egl;0;A
131;Adliswil;3;depic_t;3482;A
131;Adliswil;3;depic_pat_cul;0;A
131;Adliswil;3;depic_cula;0;A
131;Adliswil;3;depic_med;0;A
131;Adliswil;3;depic_spo;3482;A
131;Adliswil;3;depic_egl;0;A
4021;Baden;3;depc_t;17198;A
