GEONAME;VARIABLE;VALUE
Monthey;depic_spo;3626.0
Monthey;depic_egl;0.0
Morges;depc_t;12655.0
Morges;depc_pat_cul;929.0
Morges;depc_cula;5823.0
Morges;depc_med;7.0
Morges;depc_spo;5451.0
Morges;depc_egl;445.0
Morges;depic_t;762.0
Morges;depic_pat_cul;542.0
Morges;depic_cula;10.0
Morges;depic_med;0.0
Morges;depic_spo;210.0
Morges;depic_egl;0.0
Muttenz;depc_t;4130.0
Muttenz;depc_pat_cul;241.0
Muttenz;depc_cula;396.0
Muttenz;depc_med;873.0
Muttenz;depc_spo;2590.0
Muttenz;depc_egl;30.0
Muttenz;depic_t;529.0
Muttenz;depic_pat_cul;0.0
Muttenz;depic_cula;0.0
Muttenz;depic_med;53.0
Muttenz;depic_spo;475.0
Muttenz;depic_egl;0.0
Olten;depc_t;15118.0
Olten;depc_pat_cul;6264.0
Olten;depc_cula;2060.0
Olten;depc_med;0.0
Olten;depc_spo;6794.0
Olten;depc_egl;0.0
Olten;depic_t;5456.0
Olten;depic_pat_cul;3929.0
Olten;depic_cula;152.0
Olten;depic_med;0.0
Olten;depic_spo;1375.0
Olten;depic_egl;0.0
Onex;depc_t;12590.0
Onex;depc_pat_cul;0.0
Onex;depc_cula;2490.0
Onex;depc_med;137.0
Onex;depc_spo;9963.0
Onex;depc_egl;0.0
Onex;depic_t;3209.0
